Job_ID,Job_Title,Experience_Level,Years_Experience_Required,Company,Industry,Location,Remote,Employment_Type,Required_Skills,Company_Size,Salary_USD,Applicants_Count,Date_Posted
JOB00001,Junior Data Scientist,Entry,0.0,Fusion Analytics,Telecommunications,Remote,Yes,Full-time,"Tableau, Python, SQL",1001-5000,76000.0,84,2026-03-01
JOB00002,Computer Vision Engineer,Mid,3.0,Zenith Data Group,Healthcare,"Sydney, Australia",Yes,Full-time,"Power BI, Python, TensorFlow",201-1000,109000.0,27,2025-07-08
JOB00003,Director of Data Science,Manager,10.0,Silverline AI,Telecommunications,"San Francisco, USA",No,Full-time,"Generative AI, AWS, A/B Testing",201-1000,286500.0,9,2025-10-28
JOB00004,AI Research Scientist,Senior,6.0,Vertex Analytics,Telecommunications,"Bengaluru, India",No,Full-time,"Azure, Generative AI, AWS, GCP",5000+,82500.0,49,2026-04-03
JOB00005,Staff AI Engineer,Senior,6.0,DataForge,Consulting,"New York, USA",No,Full-time,"AWS, Deep Learning, Computer Vision, Generative AI",1001-5000,185500.0,64,2025-09-02
JOB00006,Senior Data Scientist,Senior,6.0,Horizon Cloud,Healthcare,"Sydney, Australia",No,Full-time,"MLOps, Machine Learning, Azure, Computer Vision",1-50,172000.0,87,2025-09-16
JOB00008,Computer Vision Engineer,Mid,3.0,Silverline AI,Finance,"San Francisco, USA",No,Contract,"Power BI, Deep Learning, SQL, TensorFlow",1-50,121500.0,23,2026-01-15
JOB00009,Junior Data Scientist,Entry,0.0,Pulse Robotics,Healthcare,"Sydney, Australia",No,Contract,"SQL, Python, Statistics, Excel, Kubernetes",1-50,65500.0,33,2026-03-14
JOB00010,AI Engineer,Mid,3.0,Pulse Robotics,Automotive,"Bengaluru, India",No,Full-time,"Python, NLP, Machine Learning, Deep Learning",1001-5000,41500.0,53,2025-09-20
JOB00012,Senior ML Engineer,Senior,6.0,Silverline AI,Gaming,"Toronto, Canada",Yes,Full-time,"NLP, Azure, AWS, Generative AI, MLOps",51-200,144500.0,19,2025-10-01
JOB00013,BI Analyst,Entry,0.0,Quantum Insight,Consulting,"Toronto, Canada",Yes,Full-time,"Excel, Data Visualization, Tableau, Statistics, Python",5000+,60000.0,121,2025-12-04
JOB00014,Junior Data Scientist,Entry,0.0,DataForge,Healthcare,"San Francisco, USA",No,Full-time,"Data Visualization, Tableau, SQL, Excel, Docker",1-50,115500.0,50,2026-01-08
JOB00015,Head of AI,Manager,10.0,Vertex Analytics,Education,Remote,Yes,Full-time,"GCP, Statistics, MLOps",51-200,276500.0,45,2025-09-22
JOB00016,Analytics Engineer,Mid,3.0,Silverline AI,Technology,"Toronto, Canada",No,Full-time,"Spark, NLP, Python, Computer Vision",51-200,117500.0,31,2025-11-03
JOB00017,Junior Data Scientist,Entry,0.0,Ironpeak Tech,Finance,Singapore,No,Full-time,"SQL, Data Visualization, Statistics, Python, Tableau",51-200,79500.0,65,2026-03-05
